operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,8191.921474379654,2421.75803565979,300,300,0.785795901,[10],10,30,3081.9173688458704,pfs,309988,individuals,38060-dc105,ALL.chr2.250000.vcf,1,initial_data
write,0,14630.333333333334,0.08371543884277344,300,300,7.55e-05,[10],10,30,1108.813759506933,pfs,6,individuals,38060-dc105,chr2n-5801-6001.tar.gz,1,final_data
read,1,8191.921474379654,2421.75803565979,300,300,0.785795901,[10],10,30,3081.9173688458704,pfs,309988,individuals,38060-dc105,columns.txt,1,initial_data
read,0,17036.571428571428,1.8197021484375,10,10,0.000679268,[10],10,1,2678.9163458863068,pfs,112,frequency,36513-dc103,AMR,1,initial_data
write,0,21124.440643863178,10.012480735778809,10,10,0.006775173,[10],10,1,1477.81919897526,pfs,497,frequency,36513-dc103,chr5-AMR-freq.tar.gz,1,final_data
read,1,17036.571428571428,1.8197021484375,10,10,0.000679268,[10],10,1,2678.9163458863068,pfs,112,frequency,36513-dc103,chr5n.tar.gz,1,individuals_merge
read,1,17036.571428571428,1.8197021484375,10,10,0.000679268,[10],10,1,2678.9163458863068,pfs,112,frequency,36513-dc103,sifted.SIFT.chr5.txt,1,sifting
write,0,14718.0,0.07018089294433594,300,300,6.5599e-05,[10],10,30,1069.8469937702698,pfs,5,individuals,32173-dc103,chr5n-5001-5201.tar.gz,1,final_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.858488074,[10],10,30,2821.023484247255,pfs,309995,individuals,32173-dc103,ALL.chr5.250000.vcf,1,initial_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.858488074,[10],10,30,2821.023484247255,pfs,309995,individuals,32173-dc103,columns.txt,1,initial_data
read,1,8191.912280079227,2421.833441734314,300,300,0.7935851,[10],10,30,3051.7627431945407,pfs,309998,individuals,35945-dc104,ALL.chr1.250000.vcf,1,initial_data
read,1,8191.912280079227,2421.833441734314,300,300,0.7935851,[10],10,30,3051.7627431945407,pfs,309998,individuals,35945-dc104,columns.txt,1,initial_data
write,0,15401.6,0.0734405517578125,300,300,9.5449e-05,[10],10,30,769.4219086403472,pfs,5,individuals,35945-dc104,chr1n-1201-1401.tar.gz,1,final_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.794997651,[10],10,30,3046.3171993701844,pfs,309995,individuals,32884-dc103,ALL.chr5.250000.vcf,1,initial_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.794997651,[10],10,30,3046.3171993701844,pfs,309995,individuals,32884-dc103,columns.txt,1,initial_data
write,0,14843.0,0.07077693939208984,300,300,7.5588e-05,[10],10,30,936.3515292386337,pfs,5,individuals,32884-dc103,chr5n-1201-1401.tar.gz,1,final_data
write,0,14744.666666666666,0.08436965942382812,300,300,0.000113056,[10],10,30,746.2643240856578,pfs,6,individuals,30402-dc103,chr5n-3201-3401.tar.gz,1,final_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.793635145,[10],10,30,3051.547090571695,pfs,309995,individuals,30402-dc103,columns.txt,1,initial_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.793635145,[10],10,30,3051.547090571695,pfs,309995,individuals,30402-dc103,ALL.chr5.250000.vcf,1,initial_data
write,0,19654.090909090908,0.20617961883544922,10,10,0.00013406,[10],10,1,1537.9652307582367,pfs,11,mutation_overlap,26266-dc108,chr4-EAS.tar.gz,1,final_data
read,1,18592.07,1.7730779647827148,10,10,0.000578943,[10],10,1,3062.612320699473,pfs,100,mutation_overlap,26266-dc108,sifted.SIFT.chr4.txt,1,sifting
read,1,18592.07,1.7730779647827148,10,10,0.000578943,[10],10,1,3062.612320699473,pfs,100,mutation_overlap,26266-dc108,chr4n.tar.gz,1,individuals_merge
read,0,18592.07,1.7730779647827148,10,10,0.000578943,[10],10,1,3062.612320699473,pfs,100,mutation_overlap,26266-dc108,EAS,1,initial_data
read,1,8191.921474379654,2421.75803565979,300,300,0.842247442,[10],10,30,2875.35220042828,pfs,309988,individuals,36073-dc105,columns.txt,1,initial_data
write,0,17887.2,0.08529281616210938,300,300,7.7458e-05,[10],10,30,1101.1492184423735,pfs,5,individuals,36073-dc105,chr2n-5601-5801.tar.gz,1,final_data
read,1,8191.921474379654,2421.75803565979,300,300,0.842247442,[10],10,30,2875.35220042828,pfs,309988,individuals,36073-dc105,ALL.chr2.250000.vcf,1,initial_data
read,1,8191.912230276168,2421.794364929199,300,300,0.797846078,[10],10,30,3035.4155164866265,pfs,309993,individuals,23869-dc107,ALL.chr3.250000.vcf,1,initial_data
read,1,8191.912230276168,2421.794364929199,300,300,0.797846078,[10],10,30,3035.4155164866265,pfs,309993,individuals,23869-dc107,columns.txt,1,initial_data
write,0,14870.0,0.08508682250976562,300,300,6.7847e-05,[10],10,30,1254.0985232916064,pfs,6,individuals,23869-dc107,chr3n-1801-2001.tar.gz,1,final_data
write,0,19775.85714285714,0.2640361785888672,10,10,0.000316387,[10],10,1,834.5354853039701,pfs,14,mutation_overlap,40654-dc105,chr2-SAS.tar.gz,1,final_data
read,1,15397.209150326797,2.246640205383301,10,10,0.000753562,[10],10,1,2981.3607976295257,pfs,153,mutation_overlap,40654-dc105,sifted.SIFT.chr2.txt,1,sifting
read,1,15397.209150326797,2.246640205383301,10,10,0.000753562,[10],10,1,2981.3607976295257,pfs,153,mutation_overlap,40654-dc105,chr2n.tar.gz,1,individuals_merge
read,0,15397.209150326797,2.246640205383301,10,10,0.000753562,[10],10,1,2981.3607976295257,pfs,153,mutation_overlap,40654-dc105,SAS,1,initial_data
write,0,23573.333333333332,0.33721923828125,10,10,0.000277439,[10],10,1,1215.4716470332219,pfs,15,frequency,26317-dc107,chr3-GBR-freq.tar.gz,1,final_data
read,1,18586.58394160584,2.4284000396728516,10,10,0.000860436,[10],10,1,2822.2901408970006,pfs,137,frequency,26317-dc107,chr3n.tar.gz,1,individuals_merge
read,0,18586.58394160584,2.4284000396728516,10,10,0.000860436,[10],10,1,2822.2901408970006,pfs,137,frequency,26317-dc107,GBR,1,initial_data
read,1,18586.58394160584,2.4284000396728516,10,10,0.000860436,[10],10,1,2822.2901408970006,pfs,137,frequency,26317-dc107,sifted.SIFT.chr3.txt,1,sifting
read,1,8191.930583199192,2421.8310403823853,300,300,0.795558202,[10],10,30,3044.1909018020347,pfs,309997,individuals,22180-dc108,ALL.chr4.250000.vcf,1,initial_data
write,0,14510.4,0.06919097900390625,300,300,6.265e-05,[10],10,30,1104.405091842079,pfs,5,individuals,22180-dc108,chr4n-4201-4401.tar.gz,1,final_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.795558202,[10],10,30,3044.1909018020347,pfs,309997,individuals,22180-dc108,columns.txt,1,initial_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.798528026,[10],10,30,3032.869181203147,pfs,309997,individuals,23927-dc108,ALL.chr4.250000.vcf,1,initial_data
write,0,14769.0,0.07042407989501953,300,300,6.926e-05,[10],10,30,1016.8073909185609,pfs,5,individuals,23927-dc108,chr4n-1001-1201.tar.gz,1,final_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.798528026,[10],10,30,3032.869181203147,pfs,309997,individuals,23927-dc108,columns.txt,1,initial_data
read,1,8191.912280079227,2421.833441734314,300,300,0.863220881,[10],10,30,2805.577917587832,pfs,309998,individuals,38328-dc104,columns.txt,1,initial_data
write,0,14412.166666666666,0.08246707916259766,300,300,0.000102539,[10],10,30,804.2508622338589,pfs,6,individuals,38328-dc104,chr1n-3201-3401.tar.gz,1,final_data
read,1,8191.912280079227,2421.833441734314,300,300,0.863220881,[10],10,30,2805.577917587832,pfs,309998,individuals,38328-dc104,ALL.chr1.250000.vcf,1,initial_data
read,1,15397.627450980392,2.246701240539551,10,10,0.000810322,[10],10,1,2772.603039951465,pfs,153,mutation_overlap,40651-dc105,sifted.SIFT.chr2.txt,1,sifting
read,1,15397.627450980392,2.246701240539551,10,10,0.000810322,[10],10,1,2772.603039951465,pfs,153,mutation_overlap,40651-dc105,chr2n.tar.gz,1,individuals_merge
write,0,20780.0,0.2576255798339844,10,10,0.000268167,[10],10,1,960.6908375526608,pfs,13,mutation_overlap,40651-dc105,chr2-EUR.tar.gz,1,final_data
read,0,15397.627450980392,2.246701240539551,10,10,0.000810322,[10],10,1,2772.603039951465,pfs,153,mutation_overlap,40651-dc105,EUR,1,initial_data
read,1,8191.912230276168,2421.794364929199,300,300,0.826551936,[10],10,30,2929.996603297774,pfs,309993,individuals,21603-dc107,columns.txt,1,initial_data
write,0,15879.666666666666,0.09086418151855469,300,300,8.617e-05,[10],10,30,1054.4758212667366,pfs,6,individuals,21603-dc107,chr3n-5201-5401.tar.gz,1,final_data
read,1,8191.912230276168,2421.794364929199,300,300,0.826551936,[10],10,30,2929.996603297774,pfs,309993,individuals,21603-dc107,ALL.chr3.250000.vcf,1,initial_data
write,0,15429.8,0.07357501983642578,300,300,6.7388e-05,[10],10,30,1091.811892865581,pfs,5,individuals,32344-dc103,chr5n-1601-1801.tar.gz,1,final_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.798837063,[10],10,30,3031.6758321217194,pfs,309995,individuals,32344-dc103,columns.txt,1,initial_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.798837063,[10],10,30,3031.6758321217194,pfs,309995,individuals,32344-dc103,ALL.chr5.250000.vcf,1,initial_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.783382435,[10],10,30,3091.5054157199543,pfs,309997,individuals,23926-dc108,columns.txt,1,initial_data
write,0,14519.2,0.06923294067382812,300,300,6.426e-05,[10],10,30,1077.3878100502354,pfs,5,individuals,23926-dc108,chr4n-4601-4801.tar.gz,1,final_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.783382435,[10],10,30,3091.5054157199543,pfs,309997,individuals,23926-dc108,ALL.chr4.250000.vcf,1,initial_data
read,1,8191.921474379654,2421.75803565979,300,300,0.823056764,[10],10,30,2942.3949131894747,pfs,309988,individuals,36235-dc105,ALL.chr2.250000.vcf,1,initial_data
read,1,8191.921474379654,2421.75803565979,300,300,0.823056764,[10],10,30,2942.3949131894747,pfs,309988,individuals,36235-dc105,columns.txt,1,initial_data
write,0,16333.0,0.0778818130493164,300,300,0.000124538,[10],10,30,625.3658566005269,pfs,5,individuals,36235-dc105,chr2n-401-601.tar.gz,1,final_data
read,1,8191.921474379654,2421.75803565979,300,300,0.816271237,[10],10,30,2966.854552612136,pfs,309988,individuals,36312-dc105,columns.txt,1,initial_data
write,0,17005.2,0.08108711242675781,300,300,6.894e-05,[10],10,30,1176.1983235677083,pfs,5,individuals,36312-dc105,chr2n-4801-5001.tar.gz,1,final_data
read,1,8191.921474379654,2421.75803565979,300,300,0.816271237,[10],10,30,2966.854552612136,pfs,309988,individuals,36312-dc105,ALL.chr2.250000.vcf,1,initial_data
read,1,8191.912280079227,2421.833441734314,300,300,0.809255289,[10],10,30,2992.669278352179,pfs,309998,individuals,38329-dc104,ALL.chr1.250000.vcf,1,initial_data
write,0,15192.4,0.07244300842285156,300,300,5.884e-05,[10],10,30,1231.1864109933983,pfs,5,individuals,38329-dc104,chr1n-2201-2401.tar.gz,1,final_data
read,1,8191.912280079227,2421.833441734314,300,300,0.809255289,[10],10,30,2992.669278352179,pfs,309998,individuals,38329-dc104,columns.txt,1,initial_data
write,0,16431.6,0.07835197448730469,300,300,7.6336e-05,[10],10,30,1026.4092235289338,pfs,5,individuals,32622-dc103,chr5n-601-801.tar.gz,1,final_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.784365515,[10],10,30,3087.6102676444098,pfs,309995,individuals,32622-dc103,ALL.chr5.250000.vcf,1,initial_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.784365515,[10],10,30,3087.6102676444098,pfs,309995,individuals,32622-dc103,columns.txt,1,initial_data
read,0,18623.99,1.7761220932006836,10,10,0.000589556,[10],10,1,3012.6435710953388,pfs,100,frequency,26752-dc108,AFR,1,initial_data
read,1,18623.99,1.7761220932006836,10,10,0.000589556,[10],10,1,3012.6435710953388,pfs,100,frequency,26752-dc108,sifted.SIFT.chr4.txt,1,sifting
read,1,18623.99,1.7761220932006836,10,10,0.000589556,[10],10,1,3012.6435710953388,pfs,100,frequency,26752-dc108,chr4n.tar.gz,1,individuals_merge
write,0,20283.777777777777,2.2632617950439453,10,10,0.001987111,[10],10,1,1138.9709961063802,pfs,117,frequency,26752-dc108,chr4-AFR-freq.tar.gz,1,final_data
read,1,8191.912280079227,2421.833441734314,300,300,0.882131488,[10],10,30,2745.4336169601897,pfs,309998,individuals,37149-dc104,columns.txt,1,initial_data
read,1,8191.912280079227,2421.833441734314,300,300,0.882131488,[10],10,30,2745.4336169601897,pfs,309998,individuals,37149-dc104,ALL.chr1.250000.vcf,1,initial_data
write,0,16935.0,0.08075237274169922,300,300,7.462e-05,[10],10,30,1082.1813554234684,pfs,5,individuals,37149-dc104,chr1n-4201-4401.tar.gz,1,final_data
write,0,14188.4,0.06765556335449219,300,300,6.6127e-05,[10],10,30,1023.1155708635231,pfs,5,individuals,33175-dc103,chr5n-1001-1201.tar.gz,1,final_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.871047878,[10],10,30,2780.3466133926972,pfs,309995,individuals,33175-dc103,ALL.chr5.250000.vcf,1,initial_data
read,1,8191.929237568348,2421.8150177001953,300,300,0.871047878,[10],10,30,2780.3466133926972,pfs,309995,individuals,33175-dc103,columns.txt,1,initial_data
read,1,17045.5,1.8206558227539062,10,10,0.000679107,[10],10,1,2680.9557591865587,pfs,112,mutation_overlap,36185-dc103,chr5n.tar.gz,1,individuals_merge
write,0,23135.923076923078,0.2868337631225586,10,10,0.000311873,[10],10,1,919.7133548673935,pfs,13,mutation_overlap,36185-dc103,chr5-SAS.tar.gz,1,final_data
read,1,17045.5,1.8206558227539062,10,10,0.000679107,[10],10,1,2680.9557591865587,pfs,112,mutation_overlap,36185-dc103,sifted.SIFT.chr5.txt,1,sifting
read,0,17045.5,1.8206558227539062,10,10,0.000679107,[10],10,1,2680.9557591865587,pfs,112,mutation_overlap,36185-dc103,SAS,1,initial_data
write,0,15682.8,0.07478141784667969,300,300,7.4989e-05,[10],10,30,997.2318319577497,pfs,5,individuals,22032-dc108,chr4n-2401-2601.tar.gz,1,final_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.799439107,[10],10,30,3029.412770999687,pfs,309997,individuals,22032-dc108,columns.txt,1,initial_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.799439107,[10],10,30,3029.412770999687,pfs,309997,individuals,22032-dc108,ALL.chr4.250000.vcf,1,initial_data
write,0,25889.304347826088,1.1357383728027344,10,10,0.000809156,[10],10,1,1403.6086648343885,pfs,46,individuals_merge,33890-dc103,chr5n.tar.gz,1,final_data
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-1601-1801.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-1-201.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-2001-2201.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-4601-4801.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-3001-3201.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-5001-5201.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-2801-3001.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-601-801.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-401-601.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-5401-5601.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-1401-1601.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-5201-5401.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-2401-2601.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-1001-1201.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-201-401.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-1201-1401.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-2201-2401.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-801-1001.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-1801-2001.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-4201-4401.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-3601-3801.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-2601-2801.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-5601-5801.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-5801-6001.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-4801-5001.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-4001-4201.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-3201-3401.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-3401-3601.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-3801-4001.tar.gz,1,individuals
read,1,26382.588888888888,2.2644357681274414,10,10,0.000809104,[10],10,1,2798.695554746289,pfs,90,individuals_merge,33890-dc103,chr5n-4401-4601.tar.gz,1,individuals
read,1,8191.912280079227,2421.833441734314,300,300,0.812220659,[10],10,30,2981.7432182974235,pfs,309998,individuals,38227-dc104,ALL.chr1.250000.vcf,1,initial_data
read,1,8191.912280079227,2421.833441734314,300,300,0.812220659,[10],10,30,2981.7432182974235,pfs,309998,individuals,38227-dc104,columns.txt,1,initial_data
write,0,15860.0,0.09075164794921875,300,300,8.1269e-05,[10],10,30,1116.6822275310235,pfs,6,individuals,38227-dc104,chr1n-1801-2001.tar.gz,1,final_data
write,0,17447.8,0.08319759368896484,300,300,8.0809e-05,[10],10,30,1029.558510672881,pfs,5,individuals,37503-dc104,chr1n-5601-5801.tar.gz,1,final_data
read,1,8191.912280079227,2421.833441734314,300,300,0.872998641,[10],10,30,2774.1548817993107,pfs,309998,individuals,37503-dc104,columns.txt,1,initial_data
read,1,8191.912280079227,2421.833441734314,300,300,0.872998641,[10],10,30,2774.1548817993107,pfs,309998,individuals,37503-dc104,ALL.chr1.250000.vcf,1,initial_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.80360955,[10],10,30,3013.6912140757727,pfs,309997,individuals,22184-dc108,ALL.chr4.250000.vcf,1,initial_data
write,0,7746.0,0.02954864501953125,300,300,4.1709e-05,[10],10,30,708.4476976079802,pfs,4,individuals,22184-dc108,chr4n-1-201.tar.gz,1,final_data
read,1,8191.930583199192,2421.8310403823853,300,300,0.80360955,[10],10,30,3013.6912140757727,pfs,309997,individuals,22184-dc108,columns.txt,1,initial_data
read,1,15394.908496732027,2.246304512023926,10,10,0.000771026,[10],10,1,2913.396580691087,pfs,153,frequency,41207-dc105,chr2n.tar.gz,1,individuals_merge
read,1,15394.908496732027,2.246304512023926,10,10,0.000771026,[10],10,1,2913.396580691087,pfs,153,frequency,41207-dc105,sifted.SIFT.chr2.txt,1,sifting
write,0,21005.394366197183,1.4222936630249023,10,10,0.001090724,[10],10,1,1303.990434816601,pfs,71,frequency,41207-dc105,chr2-EAS-freq.tar.gz,1,final_data
